Concert,Date,Time,Lineup,Link
Hozier: Unreal Unearth Tour,2026-06-05,20:00:00,Hozier and Allison Russell,https://www.ticketmaster.com/hozier-unreal-unearth-tour-ann-arbor-michigan-06-05-2026/event/08006679G27C686B
Vampire Weekend: Only God Was Above Us Tour,2026-06-20,19:30:00,Vampire Weekend,https://www.ticketmaster.com/vampire-weekend-only-god-was-above-us-detroit-michigan-06-20-2026/event/09007780H38D797C

Artist,Track,Album,Length,Release Date
Hozier,Take Me to Church,Hozier,4:02,2013-09-13
Hozier,Too Sweet,Too Sweet - Single,4:00,2024-03-22
Hozier,Work Song,Hozier,3:41,2013-09-13
Hozier,Cherry Wine,Hozier (Bonus Track Version),3:32,2014-09-19
Hozier,Movement,Wasteland Baby!,3:49,2019-03-01
Hozier,From Eden,Hozier,4:07,2013-09-13
Hozier,Nobody,Unreal Unearth,3:59,2023-08-18
Hozier,Eat Your Young,Eat Your Young - EP,3:07,2023-03-17
Hozier,Angel of Small Death & the Codeine Scene,Hozier,4:11,2014-09-19
Hozier,De Selby (Part 1),Unreal Unearth,3:30,2023-08-18
Allison Russell,Quahogs & Whelks,The Returner,4:23,2023-09-29
Allison Russell,Nightflyer,The Returner,3:50,2023-09-29
Allison Russell,Eve Was Black,Outside Child,4:07,2021-05-07
Allison Russell,4th Day Prayer,Outside Child,4:32,2021-05-07
Allison Russell,Persephone,Outside Child,3:55,2021-05-07
Allison Russell,Montreal,Outside Child,3:42,2021-05-07
Allison Russell,The Runner,The Returner,3:38,2023-09-29
Allison Russell,You're Not Alone,Outside Child,3:29,2021-05-07
Allison Russell,The Returner,The Returner,4:10,2023-09-29
Allison Russell,Hy-Brasil,The Returner,3:14,2023-09-29
Vampire Weekend,Oxford Comma,Vampire Weekend,3:14,2008-01-29
Vampire Weekend,A-Punk,Vampire Weekend,2:17,2008-01-29
Vampire Weekend,Harmony Hall,Father of the Bride,4:23,2019-05-03
Vampire Weekend,Cousins,Contra,2:49,2010-01-12
Vampire Weekend,Hannah Hunt,Modern Vampires of the City,4:04,2013-05-07
Vampire Weekend,Diane Young,Modern Vampires of the City,2:39,2013-05-07
Vampire Weekend,Capricorn,Only God Was Above Us,4:14,2024-03-05
Vampire Weekend,Classical,Only God Was Above Us,3:27,2024-03-05
Vampire Weekend,Step,Modern Vampires of the City,5:02,2013-05-07
Vampire Weekend,Jerusalem New York Berlin,Only God Was Above Us,4:01,2024-03-05
